item,name,description,type,category,subcategory,text,predicted_label_id,predicted_label
http://www.wikidata.org/entity/Q2427430,Northeast Flag Replacement,"Zhang Xueliang's announcement on 29 December 1928 on replacing all banners of the Beiyang government in Manchuria with the flag of the Nationalist government, thus nominally uniting China under one state",concept,History,historical event,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] History | [TYPE] concept | [SUBCATEGORY] historical event | [NAME] Northeast Flag Replacement | [DESC] Zhang Xueliang's announcement on 29 December 1928 on replacing all banners of the Beiyang government in Manchuria with the flag of the Nationalist government, thus nominally uniting China under one state | [WIKI] ",2,cultural exclusive
http://www.wikidata.org/entity/Q438464,alternative comics,independent comic publications,concept,Comics and Anime,comics,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Comics and Anime | [TYPE] concept | [SUBCATEGORY] comics | [NAME] alternative comics | [DESC] independent comic publications | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q55439,panel painting,painting made on a flat panel made of wood,concept,Visual Arts,painting,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Visual Arts | [TYPE] concept | [SUBCATEGORY] painting | [NAME] panel painting | [DESC] painting made on a flat panel made of wood | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q1650915,researcher,"person who engages in research, professionally or otherwise. If a more specific occupation is known, use that instead",concept,Books,non-fiction writer,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Books | [TYPE] concept | [SUBCATEGORY] non-fiction writer | [NAME] researcher | [DESC] person who engages in research, professionally or otherwise. If a more specific occupation is known, use that instead | [WIKI] ",0,cultural agnostic
http://www.wikidata.org/entity/Q2250579,Shu'ubiyya,Iranian movement against the supremacy of the Arab race,concept,philosophy and religion,religious movement,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] philosophy and religion | [TYPE] concept | [SUBCATEGORY] religious movement | [NAME] Shu'ubiyya | [DESC] Iranian movement against the supremacy of the Arab race | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q177220,singer,person singing for a listening audience,named entity,Music,musician,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Music | [TYPE] named entity | [SUBCATEGORY] musician | [NAME] singer | [DESC] person singing for a listening audience | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q47520669,diplomatician,person who studies the protocols of documents,concept,History,historian,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] History | [TYPE] concept | [SUBCATEGORY] historian | [NAME] diplomatician | [DESC] person who studies the protocols of documents | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q182950,Studio Ghibli,Japanese animation studio,named entity,Comics and Anime,animation studio,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Comics and Anime | [TYPE] named entity | [SUBCATEGORY] animation studio | [NAME] Studio Ghibli | [DESC] Japanese animation studio | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q1154859,rock festival,type of music festival,concept,Music,music festival,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Music | [TYPE] concept | [SUBCATEGORY] music festival | [NAME] rock festival | [DESC] type of music festival | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q31454881,Baldegg Kloster railway station,railway station in Switzerland,named entity,transportation,station,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] transportation | [TYPE] named entity | [SUBCATEGORY] station | [NAME] Baldegg Kloster railway station | [DESC] railway station in Switzerland | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q62855,Alexander Braun,German botanist and university teacher (1805–1877),named entity,Biology,biologist,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Biology | [TYPE] named entity | [SUBCATEGORY] biologist | [NAME] Alexander Braun | [DESC] German botanist and university teacher (1805–1877) | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q254907,genrō,Japanese elder statesmen,concept,politics,politician,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] politics | [TYPE] concept | [SUBCATEGORY] politician | [NAME] genrō | [DESC] Japanese elder statesmen | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q591942,distributary,stream that branches off and flows away from a main stream channel,concept,Geography,river,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Geography | [TYPE] concept | [SUBCATEGORY] river | [NAME] distributary | [DESC] stream that branches off and flows away from a main stream channel | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q942219,kanga,"traditional wrapped garment of East Africa, typically worn by women",named entity,Fashion,clothing,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Fashion | [TYPE] named entity | [SUBCATEGORY] clothing | [NAME] kanga | [DESC] traditional wrapped garment of East Africa, typically worn by women | [WIKI] ",1,cultural representative
http://www.wikidata.org/entity/Q178671,Theosophy,religion founded by Helena Blavatsky,concept,philosophy and religion,religion,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] philosophy and religion | [TYPE] concept | [SUBCATEGORY] religion | [NAME] Theosophy | [DESC] religion founded by Helena Blavatsky | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q890057,body modification,deliberate altering of the human anatomy for non-medical reasons,concept,Gestures and habits,mores,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Gestures and habits | [TYPE] concept | [SUBCATEGORY] mores | [NAME] body modification | [DESC] deliberate altering of the human anatomy for non-medical reasons | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q6839890,Microphotography,writing style in science journalism,concept,Literature,writing style,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Literature | [TYPE] concept | [SUBCATEGORY] writing style | [NAME] Microphotography | [DESC] writing style in science journalism | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q5180408,Crackle,digital streaming video content network,concept,media,streaming service,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] media | [TYPE] concept | [SUBCATEGORY] streaming service | [NAME] Crackle | [DESC] digital streaming video content network | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q10798,Sus,genus of mammals in the family Suidae,named entity,Biology,animal,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Biology | [TYPE] named entity | [SUBCATEGORY] animal | [NAME] Sus | [DESC] genus of mammals in the family Suidae | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q354239,minor party,political party with little influence in the governing of a country,named entity,politics,political party,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] politics | [TYPE] named entity | [SUBCATEGORY] political party | [NAME] minor party | [DESC] political party with little influence in the governing of a country | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q61391,cheerleading,sports activity in which the participants cheer for their team as a form of encouragement,concept,Performing arts,dance,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Performing arts | [TYPE] concept | [SUBCATEGORY] dance | [NAME] cheerleading | [DESC] sports activity in which the participants cheer for their team as a form of encouragement | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q32491,Qantas,the flag carrier airline of Australia,named entity,media,production company,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] media | [TYPE] named entity | [SUBCATEGORY] production company | [NAME] Qantas | [DESC] the flag carrier airline of Australia | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q704948,body double,profession,concept,Performing arts,actor,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Performing arts | [TYPE] concept | [SUBCATEGORY] actor | [NAME] body double | [DESC] profession | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q6379416,Kawabata Evaluation System,system to measure the mechanical properties of fabrics,concept,Fashion,textile,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Fashion | [TYPE] concept | [SUBCATEGORY] textile | [NAME] Kawabata Evaluation System | [DESC] system to measure the mechanical properties of fabrics | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q1451709,women's cinema,women role-related cinema,concept,Films,film genre,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Films | [TYPE] concept | [SUBCATEGORY] film genre | [NAME] women's cinema | [DESC] women role-related cinema | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q266569,animator,person who makes animated sequences out of still images,concept,Visual Arts,artist,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Visual Arts | [TYPE] concept | [SUBCATEGORY] artist | [NAME] animator | [DESC] person who makes animated sequences out of still images | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q170593,collaging,technique of art production using assemblage of different forms,concept,Visual Arts,visual arts,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Visual Arts | [TYPE] concept | [SUBCATEGORY] visual arts | [NAME] collaging | [DESC] technique of art production using assemblage of different forms | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q828043,bouillabaisse,traditional Provençal fish stew,concept,food,dish,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] food | [TYPE] concept | [SUBCATEGORY] dish | [NAME] bouillabaisse | [DESC] traditional Provençal fish stew | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q276452,Goliath Artists,American management company and record label,named entity,Music,record label,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Music | [TYPE] named entity | [SUBCATEGORY] record label | [NAME] Goliath Artists | [DESC] American management company and record label | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q374852,Glück auf,German miners' greeting phrase,concept,Gestures and habits,greeting,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Gestures and habits | [TYPE] concept | [SUBCATEGORY] greeting | [NAME] Glück auf | [DESC] German miners' greeting phrase | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q23529,message in a bottle,form of communication,concept,transportation,transport,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] transportation | [TYPE] concept | [SUBCATEGORY] transport | [NAME] message in a bottle | [DESC] form of communication | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q39336,Rome Film Festival,"film festival that takes place in Rome, Italy",named entity,Films,film festival,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Films | [TYPE] named entity | [SUBCATEGORY] film festival | [NAME] Rome Film Festival | [DESC] film festival that takes place in Rome, Italy | [WIKI] ",2,cultural exclusive
http://www.wikidata.org/entity/Q59187,Vauxhall,"English car company, subsidiary of Stellantis",named entity,transportation,automobile manufacturer,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] transportation | [TYPE] named entity | [SUBCATEGORY] automobile manufacturer | [NAME] Vauxhall | [DESC] English car company, subsidiary of Stellantis | [WIKI] ",1,cultural representative
http://www.wikidata.org/entity/Q49000490,council architect,architect working for a local council,concept,architecture,architect,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] architecture | [TYPE] concept | [SUBCATEGORY] architect | [NAME] council architect | [DESC] architect working for a local council | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q5139107,coca flour,coca leaves powder,concept,food,food,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] food | [TYPE] concept | [SUBCATEGORY] food | [NAME] coca flour | [DESC] coca leaves powder | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q564278,Meunière sauce,"Butter, parsley, and lemon-based condiment",concept,food,cooking technique,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] food | [TYPE] concept | [SUBCATEGORY] cooking technique | [NAME] Meunière sauce | [DESC] Butter, parsley, and lemon-based condiment | [WIKI] ",1,cultural representative
http://www.wikidata.org/entity/Q438533,alternative manga,sub genre of manga,concept,Comics and Anime,manga,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Comics and Anime | [TYPE] concept | [SUBCATEGORY] manga | [NAME] alternative manga | [DESC] sub genre of manga | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q308876,stop-motion,animation technique to make a physically manipulated object appear to move on its own,concept,Comics and Anime,animation technique,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Comics and Anime | [TYPE] concept | [SUBCATEGORY] animation technique | [NAME] stop-motion | [DESC] animation technique to make a physically manipulated object appear to move on its own | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q1320698,Strawberry Field,Site of a former Salvation Army children's home in Liverpool,named entity,Geography,geographic location,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Geography | [TYPE] named entity | [SUBCATEGORY] geographic location | [NAME] Strawberry Field | [DESC] Site of a former Salvation Army children's home in Liverpool | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q18545,ball,round object used in sports or for playing,concept,sports,sports equipment,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] sports | [TYPE] concept | [SUBCATEGORY] sports equipment | [NAME] ball | [DESC] round object used in sports or for playing | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q9381,Adam Smith,Scottish moral philosopher and political economist (1723–1790),named entity,Literature,writer,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Literature | [TYPE] named entity | [SUBCATEGORY] writer | [NAME] Adam Smith | [DESC] Scottish moral philosopher and political economist (1723–1790) | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q338367,Accademia Carrara,Italian art gallery and academy of fine arts in Bergamo,named entity,Visual Arts,art gallery,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Visual Arts | [TYPE] named entity | [SUBCATEGORY] art gallery | [NAME] Accademia Carrara | [DESC] Italian art gallery and academy of fine arts in Bergamo | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q25104247,mic drop,gesture of dropping a microphone,concept,Gestures and habits,body language,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Gestures and habits | [TYPE] concept | [SUBCATEGORY] body language | [NAME] mic drop | [DESC] gesture of dropping a microphone | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q65022,Ellen von Unwerth,German photographer,named entity,Visual Arts,photographer,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Visual Arts | [TYPE] named entity | [SUBCATEGORY] photographer | [NAME] Ellen von Unwerth | [DESC] German photographer | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q16390125,Les Sœurs Boulay,Canadian musical sibling duo,named entity,Music,musical group,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Music | [TYPE] named entity | [SUBCATEGORY] musical group | [NAME] Les Sœurs Boulay | [DESC] Canadian musical sibling duo | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q5194627,Lilium,genus of plants,concept,Biology,plant,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Biology | [TYPE] concept | [SUBCATEGORY] plant | [NAME] Lilium | [DESC] genus of plants | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q3364870,rangeland,open grazing land,concept,Geography,environment,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Geography | [TYPE] concept | [SUBCATEGORY] environment | [NAME] rangeland | [DESC] open grazing land | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q84199,Michael Haneke,Austrian film director and screenwriter,named entity,Performing arts,theatrical director,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Performing arts | [TYPE] named entity | [SUBCATEGORY] theatrical director | [NAME] Michael Haneke | [DESC] Austrian film director and screenwriter | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q244630,Two-Rhythm Dance,"Zwiefache is a typical Bavarian-Bohemian musical genre that is played, danced and sung",named entity,Performing arts,folk dance,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Performing arts | [TYPE] named entity | [SUBCATEGORY] folk dance | [NAME] Two-Rhythm Dance | [DESC] Zwiefache is a typical Bavarian-Bohemian musical genre that is played, danced and sung | [WIKI] ",2,cultural exclusive
http://www.wikidata.org/entity/Q172336,chokehold,submission hold that reduces air or blood flow,concept,Gestures and habits,gesture,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Gestures and habits | [TYPE] concept | [SUBCATEGORY] gesture | [NAME] chokehold | [DESC] submission hold that reduces air or blood flow | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q184452,cable television,television content transmitted via signals on coaxial cable,concept,media,television,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] media | [TYPE] concept | [SUBCATEGORY] television | [NAME] cable television | [DESC] television content transmitted via signals on coaxial cable | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q911043,cross-laminated timber,wood panel product made from solid-sawn lumber,concept,architecture,building material,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] architecture | [TYPE] concept | [SUBCATEGORY] building material | [NAME] cross-laminated timber | [DESC] wood panel product made from solid-sawn lumber | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q2380474,Raleigh Studios,American film studio,named entity,media,film studio,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] media | [TYPE] named entity | [SUBCATEGORY] film studio | [NAME] Raleigh Studios | [DESC] American film studio | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q365126,Keolis Nederland,transport company,named entity,transportation,transport company,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] transportation | [TYPE] named entity | [SUBCATEGORY] transport company | [NAME] Keolis Nederland | [DESC] transport company | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q7257263,underwear as outerwear,fashion trend,concept,Fashion,fashion trend,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Fashion | [TYPE] concept | [SUBCATEGORY] fashion trend | [NAME] underwear as outerwear | [DESC] fashion trend | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q55198,Oleksandr Dovzhenko,"Soviet Ukrainian screenwriter, film producer and director (1894–1956)",named entity,Films,film producer,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Films | [TYPE] named entity | [SUBCATEGORY] film producer | [NAME] Oleksandr Dovzhenko | [DESC] Soviet Ukrainian screenwriter, film producer and director (1894–1956) | [WIKI] ",1,cultural representative
http://www.wikidata.org/entity/Q2618583,French Emigration,French diaspora due to the French Revolution and Napoleonic rule,concept,History,historical event,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] History | [TYPE] concept | [SUBCATEGORY] historical event | [NAME] French Emigration | [DESC] French diaspora due to the French Revolution and Napoleonic rule | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q133485,rabbi,teacher of Torah in Judaism,concept,philosophy and religion,religious leader,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] philosophy and religion | [TYPE] concept | [SUBCATEGORY] religious leader | [NAME] rabbi | [DESC] teacher of Torah in Judaism | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q15799,Club Atlético River Plate,Argentine professional sports club based in Buenos Aires,named entity,sports,sports club,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] sports | [TYPE] named entity | [SUBCATEGORY] sports club | [NAME] Club Atlético River Plate | [DESC] Argentine professional sports club based in Buenos Aires | [WIKI] ,1,cultural representative
